,,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
Andrew Gordon,astrickland,2894,14673,9867,9945,0,10780
Andrew Graves,theodoremorgan,0,16275,2149,23868,0,12953
Andrew Gutierrez,vramirez,2848,1898,5196,0,11849,6686
Andrew Holloway,xsampson,18881,0,5196,21722,0,17667
Andrew Hooper,melissa44,0,5042,6000,12255,17354,7269
Andrew Johnson,robert74,0,747,1990,8497,19073,1500
Andrew Long,markmendoza,0,14855,11481,11691,7489,2988
Andrew Lopez,eperez,16954,0,4430,3000,0,3150
Andrew Marquez,crawforddarryl,0,8568,5094,10269,12567,999
Andrew Moore,bonniemitchell,13588,14442,5823,0,15544,11854
Andrew Moore,kristenanthony,0,17554,10936,0,11266,3199
Andrew Moore,zbrown,3394,0,0,3000,0,8590
Andrew Morris,smithalyssa,450,13076,18549,0,10274,13463
Andrew Navarro,brendaroth,0,0,10489,1000,3992,12956
Andrew Nguyen,mjacobs,4789,0,2496,0,9941,16038
Andrew Oneal,xaguilar,10946,2000,23029,2795,3897,4187
Andrew Owen,sara41,0,10776,998,0,12595,7199
Andrew Phillips,todd30,0,7567,15000,12547,7296,6244
Andrew Sanchez,charlene71,13897,1000,7196,8769,0,10378
Andrew Tanner,lauren14,12191,6130,7149,8397,12205,6818
Andrew Thornton,courtney66,10858,16066,3196,11728,8000,0
Andrew Ward,bishoprenee,11169,0,7086,10789,12689,14552
Andrew Webb,david49,0,19552,796,11763,16152,0
Andrew Welch,connerdestiny,19406,6187,4987,15295,2748,2598
Andrew White,bradleymerritt,14977,6745,13088,7848,0,0
Andrew White,simmonspatricia,14533,0,199,5894,0,18626
Andrew White,thomas09,9892,11893,2296,2400,6445,12281
Andrew Willis,romancheryl,1749,5000,9460,2598,15360,16793
Andrew Woods,jordanjanet,14115,0,199,4696,7596,5794
Andrew Yang,jennifer20,15375,4696,0,18390,0,0
Angel Allen,jeffrey43,30280,10884,9897,5400,19287,14791
Angel Banks DVM,danarodriguez,10318,7424,0,30716,0,8068
Angel Bauer,diana16,16027,8169,10208,0,597,1299
Angel Butler,sarah62,0,14455,0,16149,5729,3289
Angel Jones,michael76,3099,3500,7338,0,6582,11166
Angel Keller,vicki72,7694,0,8756,3450,2896,4280
Angel Kemp,ypope,5791,0,10759,7494,0,19600
Angel Lucas,jhicks,0,18437,10691,6590,11186,0
Angel Roberts,lowerychristina,3548,0,11594,23499,17291,13158
Angel Schmidt,watsonkrystal,15744,12616,8892,7299,0,0
Angel Sherman,elainechambers,6131,3799,27627,0,25052,17253
Angel Soto,heatherdiaz,7178,0,998,13391,5980,12857
Angel Thompson,vegajennifer,9757,0,6392,6393,0,6123
Angel Watson,jennifernewman,14621,7960,10390,16306,2847,14096
Angel White,kevindiaz,6677,13475,5982,10693,0,0
Angel Williams,andrew32,8686,1500,10857,7419,7644,0
Angel Wood,andrewmoyer,5198,7449,10265,5944,0,0
Angela Alvarado,ntaylor,10854,6931,796,2496,0,0
Angela Anderson,paulkimberly,9136,6490,20967,6570,11594,7292
Angela Bailey,braunjennifer,19530,0,9289,4844,31252,10558
Angela Banks,william24,0,12973,0,8376,6544,0
Angela Berg,jeremy70,0,9386,12849,199,4643,8992
Angela Casey,julieshort,10317,4897,9694,8480,6187,7177
Angela Cole,fgrant,9420,7495,0,1500,26240,13857
Angela Coleman,eric83,3194,15553,12652,6946,0,0
Angela Contreras,travisrodriguez,8598,2048,0,9784,0,3195
Angela Cook,jose76,7067,7325,19044,14159,7391,3848
Angela Davis,steven77,11690,14490,10078,1799,0,1600
Angela Duncan,erin13,11306,2697,11359,600,18601,16593
Angela Dunn,mwalsh,23076,5194,10807,9726,0,8846
Angela Ellis,zacharywelch,2397,2898,13572,23366,0,9045
Angela Espinoza,onealjohn,3992,3450,1799,14952,10984,5646
Angela Gomez,bradley74,7098,2397,16307,9293,2587,10929
Angela Gomez,robinsondavid,0,3795,15920,2590,22089,5970
Angela Gray,tayloralexander,0,16527,7697,6796,6368,10857
Angela Green,conradmatthew,9696,3596,11573,0,16656,0
Angela Hahn,adrian91,9142,3289,3548,7590,17355,3980
Angela Harris,douglaskimberly,450,398,0,0,14697,1650
Angela Harrison,rodriguezmark,0,3799,4792,11857,0,0
Angela Hernandez,kkeller,13093,9950,9190,9583,9960,19442
Angela House,middletonjessica,796,5994,18231,13756,9196,22347
Angela Houston,nathanlutz,3345,15261,9068,0,4800,0
Angela Huang,simsronald,15703,0,0,9396,0,5794
Angela Hunter,richard46,796,6897,8077,24633,1898,5088
Angela King,kyle55,11896,16167,24247,4189,0,22934
Angela Lane,amandacampbell,0,0,23651,7779,5196,7899
Angela Lee,adam70,9591,21363,0,0,15058,8296
Angela Little,walterariana,0,11909,0,6794,796,4500
Angela Lopez,burnsbenjamin,7096,11422,16998,6600,14836,12383
Angela Mcknight,uanderson,17860,3146,11696,0,10795,1500
Angela Miller,daniel53,6000,16338,25018,9098,12341,21751
Angela Montgomery,robertcochran,1498,4047,0,11358,10256,18789
Angela Moyer,tfischer,799,4696,11656,10218,12744,2897
Angela Payne,tmcdaniel,4299,11373,0,11093,11674,15190
Angela Pittman,hartjacob,0,0,23230,9697,6892,0
Angela Ramos,kduke,3095,6000,10414,0,2797,0
Angela Ramsey,ekelly,500,14794,10564,6000,12074,17393
Angela Reed,amber72,5392,4494,0,0,1990,0
Angela Richard,jenniferprince,1299,12165,1990,17764,26117,0
Angela Scott,amylambert,1600,4295,4950,25649,0,0
Angela Shelton,aguilarkimberly,5243,16612,16472,0,10667,5100
Angela Stevens,jacobsamy,4599,12342,6500,0,19361,14572
Angela Thomas MD,vdougherty,14767,0,0,5878,7289,8650
Angela Williams,kristenhughes,5970,7680,3585,17975,15955,8198
Angela Willis,scottnicole,4595,14572,0,11358,0,0
Angela Wright,pinedajulie,0,796,28332,8776,0,0
Angelica Chapman,kirk27,4895,0,4500,6000,18042,4693
Angelica Deleon,karigood,21699,7960,7783,0,10492,11554
Angelica Reed,dianalewis,1946,17610,0,6978,7960,15468
Angelica Reynolds,sean44,11440,0,2590,18755,0,10387
Angelica Sims,jonesgeorge,11743,0,3585,3000,8190,6593
Angelica Walker,gcook,2199,0,6691,17521,3195,0
Angie Hanson,ualvarado,0,3000,3990,0,0,998
Angie Hendricks,beasleymary,4577,0,3694,9416,15542,2398
Angie Jones,millerjoseph,10091,8547,8796,13754,10891,9326
Angie Smith,ajohnson,1748,14568,11155,3396,0,14149
Anita Arnold,keithallison,6294,6668,0,6000,19563,7769
Anita Austin,dickersonangelica,600,0,0,0,5097,7740
Anita Gibson,harrisanthony,0,13355,6293,5300,0,17728
Anita Perez,robertschaefer,12196,9568,0,15220,7982,6000
Anita Russell,erikapatterson,5595,9000,10822,9296,5037,5981
Ann Baker,bakerjackie,14083,7496,8716,0,2946,0
Ann Baker,brandonwalker,14947,13970,0,10422,6000,5334
Ann Brooks,katie17,9814,11292,14717,0,6000,0
Ann Carter,harrysmith,597,15274,2996,4695,17598,796
Ann Crawford,jenniferrivera,0,5997,398,7495,1598,4495
Ann Freeman,christine53,7996,5397,28252,5092,19843,9290
Ann Hall,hodgerobert,2398,13692,0,12475,11558,3396
Ann Jackson,patrick90,16252,1300,7897,0,9389,1100
Anna Brewer,christinehoward,2296,8097,0,0,12699,0
Anna Cowan,baileybrandon,0,6496,17819,11496,1299,20084
Anna Fernandez,lwells,3898,9980,4196,5196,3196,7249
Anna Hamilton,pattersonamy,0,4299,11008,2000,3894,9877
Anna Hansen DDS,lsutton,10120,11186,1000,12594,21619,14423
Anna Hensley,megan65,2397,3800,4797,14950,17787,0
Anna Herman,watkinspedro,0,0,8139,0,0,12970
Anna Howell,abaker,7638,8728,12706,7578,9444,11084
Anna Lopez,kelleykarla,22512,3949,0,16153,0,10115
Anna Lopez,welchcalvin,3598,15397,0,0,24693,0
Anna Martinez,nmunoz,8688,32390,14990,0,11279,0
Anna Miller,angela74,9166,23174,7644,3000,7920,800
Anna Morrison,zoe98,11922,6450,0,11466,0,17594
Anna Munoz,bramirez,7689,398,0,0,6897,15651
Anna Myers,millerlauren,14848,10495,0,10494,0,0
Anna Nelson,blake40,21554,4950,2000,17534,0,0
Anna Perez,whayes,1500,5896,14379,4293,0,3099
Anna Pierce,cynthia98,0,2596,11644,0,5897,0
Anna Richmond,tammymcdaniel,8346,0,2847,0,0,7478
Anna Robertson,huntandrew,0,11391,4299,0,20212,0
Anna Robinson,jessicacox,600,0,0,1000,8898,9492
Anna Schultz,waltondeborah,5970,0,5594,6698,10357,9317
Anna Smith,narmstrong,15641,0,9555,10709,3897,12659
Anna Todd,zanderson,9276,4548,0,11166,12356,11047
Anna Villanueva,mullinsbrittany,10708,14474,4696,10293,11243,12174
Anna Wiggins,zcowan,2045,0,8289,0,0,1693
Anna Williams,laurie98,12234,5688,7500,4796,10676,13890
Anne Bell,michellestrickland,7982,6996,3897,12157,398,12491
Anne Bowman MD,natalie66,0,17920,6742,0,13470,4500
Anne Carpenter,wbrown,0,15791,17307,15690,12294,7465
Anne Fry,jimenezdana,7591,15877,18440,3000,7985,1990
Anne Harrell,griddle,13696,3248,17158,0,5793,4496
Anne Johns,zmartin,7096,0,9972,3980,16193,5196
Anne Mcclure,hardynicole,9895,0,499,7500,20643,799
Anne Moon,ahawkins,15439,6620,12376,13695,12454,4292
Anne Myers,hallzachary,0,17260,5893,6769,0,0
Anne Riley,nichole01,2097,0,11691,7960,14355,23136
Anne Sullivan,nathan44,0,0,13790,2000,11795,4491
Annette Anderson,dheath,3599,9855,7516,4785,0,11208
Annette Arnold,christensenemma,5594,15233,5490,12088,18353,22950
Annette Davenport,chasejill,0,1100,8790,7289,1299,20944
Annette Dixon,msimpson,15457,8695,19848,10055,9975,2697
Annette Hardy,kristinschroeder,4600,4586,1649,3098,9196,18588
Annette Hart,xrangel,398,12456,2499,16265,22142,2000
Annette May,kelseybuck,0,9890,19862,2247,9167,2391
Anthony Alexander,tim46,11281,13563,12007,7696,12124,10988
Anthony Anderson,ariel34,0,5696,18859,13583,5478,6978
Anthony Beck,whiteantonio,14264,0,0,3600,8239,0
Anthony Bell,christopher14,5140,12578,500,1500,0,10979
Anthony Brown,cristinasanders,0,11368,10958,0,0,0
Anthony Brown,sophia92,16642,17067,0,0,29312,6938
Anthony Brown,ymartin,8769,11193,16486,0,0,3795
Anthony Cross,kellycurtis,14673,0,0,0,0,21124
Anthony Curry,robertwilliams,6968,7646,3048,23458,0,8693
Anthony Davenport,acostaeric,1299,17233,12646,5796,5143,20274
Anthony Davis,donna62,8297,4296,17091,12288,9196,16445
Anthony Doyle,hernandezwilliam,0,20796,1500,1548,10100,8292
Anthony Duncan,amandaramirez,11791,3600,0,18890,8244,16849
Anthony Fisher,nabbott,11196,0,16313,11496,0,0
Anthony Garza,guzmanrobert,2000,597,3248,0,7897,0
Anthony Goodman,jeremy09,5997,0,19160,0,0,5847
Anthony Green,bbrown,0,13595,0,6086,11697,6199
Anthony Hall,joanne71,3899,1000,0,5645,7327,2888
Anthony Hanson,jeanneshaffer,3598,0,6799,1896,9519,0
Anthony Harris,brian56,2049,6044,2699,0,11095,0
Anthony Hood,wleach,0,1998,12033,3689,600,300
Anthony Hooper,garrettstephens,7282,13654,6649,9564,1500,7491
Anthony Hudson,ellisondaniel,9980,5970,9482,1449,10423,7323
Anthony Humphrey,brittany32,0,0,0,2249,4537,9189
Anthony Jenkins,sandramelendez,7736,6498,2198,17309,0,0
Anthony Jenkins,thull,9168,0,0,11058,6548,5446
Anthony Johnson,krista29,10646,0,0,3195,9485,1100
Anthony Johnson,pheath,1598,150,0,7478,0,8195
Anthony Jones,garyfitzpatrick,4650,0,0,15554,3349,10193
Anthony Jordan,gallen,14367,6297,4598,0,0,14960
Anthony Lynch,zvillanueva,0,0,14207,5336,15156,9094
Anthony Mcconnell,david65,0,23379,7146,3995,0,0
Anthony Mccoy,victoria07,9816,4087,10245,10397,7934,0
Anthony Mccullough,gnunez,19685,9696,9867,3950,14096,28548
Anthony Mcdonald,smithbrandon,21022,12547,19177,18337,4397,20990
Anthony Mendoza,wmitchell,0,8897,0,15056,1896,6578
Anthony Mitchell,david86,949,21265,1096,2198,3697,0
Anthony Moyer,grantjohnson,7196,4847,0,11083,14563,0
Anthony Nichols,pnguyen,799,2000,15063,15738,13655,11267
Anthony Norton,lopezbenjamin,15076,0,8076,11857,4897,0
Anthony Pace,millstheresa,0,12875,8410,0,14186,7470
Anthony Perez,jasonrodriguez,15594,8373,7568,16562,6389,13907
Anthony Peters,wesleyponce,11847,8696,2100,12468,11441,15506
Anthony Reese,ghunt,0,5243,12460,15656,0,0
Anthony Ross,clarkebrittney,2694,19992,11598,6146,0,0
Anthony Roy,pcruz,7797,300,5970,9196,7368,0
Anthony Ruiz,carl91,8593,13498,6487,946,10729,9960
Anthony Serrano,stephen02,0,0,17665,0,6246,3193
Anthony Simmons,nschneider,9136,0,0,3248,3150,17507
Anthony Sullivan,william61,12500,10357,0,0,11196,2095
Anthony Thornton,evanstimothy,5397,11794,1500,10189,4197,2397
Anthony Vincent,josephkelly,5897,3496,0,0,14818,5241
Anthony Ward,kevinboone,6398,4500,15739,747,0,3697
Anthony Watts,derricklambert,21457,0,12397,848,10371,0
Anthony Watts,kjones,6044,0,649,1450,15348,12007
Anthony Weber,ganderson,0,11857,0,1149,5729,0
Anthony Wilson,veronicaclark,3196,17646,7450,0,9766,0
Anthony Woods,nicolegarcia,16328,6998,3689,13666,3747,11522
Anthony Wright,prestonyoung,0,0,0,9419,0,6387
Antonio Jones,sallyturner,6076,5496,14254,5694,17487,0
Antonio Mcdaniel,shawcarla,0,5887,2100,12357,0,0
Antonio Perez,ericakim,3980,15182,3346,6094,12960,11010
Antonio Rodriguez,peterspeter,0,19450,15255,4096,8898,12494
Antonio Wood III,joshua96,13756,0,21383,0,30033,19226
April Andrade,langandrew,1749,8991,0,0,0,13679
April Bowers,lisanguyen,13305,0,7500,0,0,0
April Gray,dawn32,11796,17754,13960,8392,8094,6794
April Hansen,bbuckley,1000,2748,1500,7946,14307,6839
April Harris,julieestrada,9235,5942,17491,0,2296,3980
April Henderson,kevin20,16280,1950,9057,13995,10643,14254
April Jackson,wward,8567,18253,0,2000,4047,24056
April Johnson,jeanette13,8246,0,8994,13990,13357,8159
April Lee,harringtonjeremy,0,0,5791,0,0,7270
April Moore,anneedwards,0,0,2597,13378,9623,0
April Morgan,evazquez,7793,3796,11616,3696,0,0
April Rice,timothycopeland,8110,0,12781,1647,14838,11857
April Rivera,littlemark,8676,7597,10259,7498,3296,0
April Sanchez,laura14,7769,16173,150,6990,0,8783
April Smith,jacob98,1299,3397,0,0,13807,12492
April Taylor,ochoalori,0,349,10687,4197,11558,12674
April Thompson,brianna70,12775,8182,6998,0,15063,23258
Ariana Forbes,robertssarah,11495,3196,10259,8888,6249,8794
Ariana Hill,lisa20,15420,0,8694,1500,6075,9898
Ariana Marquez,jamesmooney,0,0,14367,12713,10145,12816
Ariana Page,holdencarlos,4397,0,0,2997,18246,4799
Ariel Romero,thorntonmikayla,2000,0,0,0,0,9167
Arthur Hughes,palmerjason,0,20186,2140,9098,6244,24158
Arthur Kaiser,michelle55,0,5492,16316,0,9393,27969
Arthur Sims,gproctor,19774,199,23548,0,6368,5379
Arthur Smith,colonkyle,9190,6968,0,0,2898,18764
Arthur Turner DDS,bsummers,0,19230,0,16103,5793,10183
Ashlee Valenzuela,rossjeremy,29023,4494,10497,22744,1299,13314
Ashley Allen,annapierce,0,14954,14330,0,4779,5695
Ashley Alvarado,vwagner,5147,10766,3493,0,11094,0
Ashley Atkinson,kylemullins,9735,10437,2598,16064,0,0
Ashley Bailey,lkelley,0,7228,3150,1500,7197,4897
Ashley Bailey,zbrowning,18751,0,3000,11786,19050,14291
Ashley Boyer DDS,webbmichael,0,1697,0,17186,25811,0
Ashley Bradshaw,hernandezmichaela,16511,0,1500,0,4295,23112
Ashley Brown MD,gentrythomas,11888,8842,0,0,7960,11655
Ashley Calderon,timothynixon,0,2990,19490,0,12899,0
Ashley Chaney,victoria03,11187,0,0,600,2799,0
Ashley Collins,teresa69,0,5978,0,500,6270,597
Ashley Davies,david51,2994,15257,5497,4000,1399,5774
Ashley Davis,robertwatson,12055,0,7241,0,15705,1000
Ashley Diaz,jasondaugherty,0,0,21479,0,0,21068
Ashley Espinoza,hernandezmitchell,6490,9269,10595,2000,6495,17219
Ashley Ford,vincentsean,3898,9093,4500,14065,5195,0
Ashley Frederick,torresrebecca,7398,747,0,2346,2297,15849
Ashley French,stephanie03,20587,9584,2000,10445,12283,15089
Ashley Garza,gregorycrosby,7960,0,10383,5970,1990,18511
Ashley Garza,sfuentes,0,1500,11956,0,1449,10459
Ashley Gonzalez,qhill,0,8128,0,8578,9383,18264
Ashley Gordon,tlopez,0,6085,7990,2397,8410,15939
Ashley Gross,christopher63,5293,14367,3193,0,0,0
Ashley Harmon,michelle69,6245,0,3397,8547,14352,0
Ashley Hebert,christina54,7991,19861,12794,19445,0,849
Ashley Holmes,romanchristopher,0,3894,450,0,2000,6270
Ashley Jackson,donna53,18989,12873,7796,13088,0,11279
Ashley Jackson,franklinjulia,300,4699,7960,5296,6093,24158
Ashley Jensen,qluna,13227,5397,10726,16090,12558,11266
Ashley Jones,moonjulie,946,7960,0,8860,0,8093
Ashley Jones,pamelavargas,3980,0,0,3197,0,0
Ashley King,ccollins,0,0,12578,16297,17914,7078
Ashley King,hfields,0,28714,8646,18171,9458,597
Ashley Knight,annaharris,0,14655,3099,11388,0,8392
Ashley Lee,bcarlson,10269,17157,18248,16367,17053,11762
Ashley Leon,christopher88,0,13116,7990,14358,10215,6891
Ashley Lewis,larrythomas,16940,17868,0,4494,1598,11995
Ashley Lewis,scottkristin,0,2598,13872,5196,0,13553
Ashley Martin,kpoole,11723,0,10460,9283,12146,12066
Ashley Martinez,thomasrussell,9495,7094,3000,4800,9848,3490
Ashley Mcdonald,diane58,2000,10808,12562,0,14464,0
Ashley Mendez,hughesgregory,0,25400,8480,4488,1000,1598
Ashley Miller,lbrady,17347,0,0,6888,16935,1000
Ashley Montoya,wesley92,11159,4480,5038,6677,14759,0
Ashley Morgan,emorris,1600,1299,9795,0,19657,19483
Ashley Myers,brianhall,0,11372,0,5279,16527,6968
Ashley Odom,dbowers,6993,1595,10166,15857,0,19248
Ashley Ortega,ngriffith,1000,15789,150,0,0,8046
Ashley Parrish,vwhite,13746,9444,3694,0,0,27881
Ashley Preston,calvin89,10693,5096,12390,0,10558,14483
Ashley Sanders,kathymarks,9686,0,21542,0,7397,2994
Ashley Silva,michaelbowman,19555,4098,10773,27608,0,10620
Ashley Smith,brent21,17847,500,18607,3346,8244,11796
Ashley Smith,katiecallahan,0,9295,2393,9766,0,0
Ashley Smith,laurareeves,0,2995,0,15393,4346,0
Ashley Stokes,tracyleonard,0,11226,4577,10981,0,1000
Ashley Wagner,ylopez,7594,3000,1299,597,8146,5982
Ashley White,lisa05,3897,1299,6898,2847,4198,1990
Ashley White,russell19,6145,2799,1299,7147,14356,150
Ashley Wilson,leonarddanielle,398,0,0,10657,12385,11300
Ashley Wilson,swilson,0,0,0,0,1300,0
Audrey Austin,morriswayne,1449,10794,14148,16361,2394,0
Audrey Horton,don39,0,18819,10688,11493,0,4696
Audrey Nielsen,rebeccafarrell,40008,8346,5794,0,10868,10014
Audrey Perez,wortiz,18288,10078,0,5337,2587,0
Audrey Reyes,vmason,3980,9600,15743,8989,5229,7996
Audrey Torres,francisco97,6172,0,10930,8696,11857,10334
Audrey Villanueva,youngmadison,0,0,3799,4895,6299,0
Austin Bowen,josephbell,7934,12762,14973,0,10057,10843
Austin Campbell,grosscrystal,8777,0,15105,8243,14989,1990
Austin Curry,osmith,0,7294,2500,16875,7196,0
Austin Edwards,hannahmorton,13196,9093,199,0,0,0
Austin Howell,julieturner,13965,4500,6597,0,23733,2397
Austin Jackson,zbryant,6886,6487,9076,7960,9693,300
Austin Johnson,glennlane,15409,3844,9892,4348,6791,21549
Austin Mccoy,douglastyler,12269,7498,7620,3598,5495,8966
Austin Morgan,joemorton,8786,0,0,2450,0,8548
Austin Ortiz DDS,esimmons,8686,0,7028,3980,17498,0
Austin Peterson,qhanson,14157,17376,11995,18940,10189,1299
Austin Richardson,sandovallaura,15372,9980,11042,14095,3440,3048
Austin Spencer,vphillips,0,7297,8590,0,13383,17238
Austin Stephens,stephaniethomas,0,14892,0,4197,19139,2490
Austin Williams,tiffanybrown,18684,10073,0,4696,0,8038
Autumn Campbell,rebecca83,13093,4898,7495,0,12843,0
Autumn Lin,william88,15558,10960,8196,2598,3980,12666
Autumn Nguyen,dking,5992,13773,6374,2898,3694,0
Autumn Phillips,linda95,14656,15166,0,0,4688,0
Autumn Reyes,grimesjennifer,5236,5097,1650,2645,6887,11877
Autumn Young,amandasanchez,9895,10279,0,0,3799,18294
Bailey Castillo,blittle,0,0,0,450,0,5970
Bailey Chan,nboyle,8868,0,26570,17269,5992,6549
Bailey Clark,smithalexander,0,5390,16570,1299,7276,1899
Bailey Rios,guzmankelly,0,16382,2749,5550,500,14260
Bailey Wells,georgelisa,12956,13986,12460,13146,2450,0
Bailey Wilson,christopherbird,10783,398,9982,10374,14073,8068
Barbara Allison,angelalee,0,5970,8097,5299,3189,0
Barbara Berger,nbrown,0,3299,2199,3897,0,7280
Barbara Brock,jack11,9542,0,7676,12043,0,0
Barbara Brown,donaldwhite,11995,3796,12666,6592,0,0
Barbara Clark,fstewart,2397,9244,6046,5970,16663,11696
Barbara Cole,dgrimes,6191,2199,0,9696,949,9867
Barbara Cook,wushelby,0,2000,7876,4096,19480,0
Barbara Cox,grantjohnson,5646,4500,2598,6600,2598,12400
Barbara Cox,james77,15449,8368,3548,18293,0,13341
Barbara Franklin,ble,5985,5898,12673,9090,0,17046
Barbara Garner,williamrichardson,20245,15137,0,0,4096,7897
Barbara Garrett,rebeccamontgomery,9196,3897,0,12692,16452,3696
Barbara Good,phillipskevin,0,7176,0,0,796,2096
Barbara Griffin,banderson,6093,5997,0,0,12278,0
Barbara Guerrero,nicoleperez,0,7199,950,9696,8917,5748
Barbara Hayes,william07,3898,11764,5687,17286,4387,6791
Barbara Hernandez,zgray,0,6000,0,7299,0,3649
Barbara Hogan,nmays,12803,0,6087,2598,1500,2197
Barbara Johnson,davischeryl,0,3598,0,17498,3394,10280
Barbara Johnson,rmoran,9215,5786,10598,2189,3980,7134
Barbara Kim,justingomez,5970,2195,0,0,0,0
Barbara Lawrence,kjackson,0,15496,0,11964,8690,5547
Barbara Lin,stevenbeck,14045,7296,0,0,2887,14689
Barbara Mercer,tara71,9993,0,15053,3548,0,3289
Barbara Moreno,cowankenneth,5397,6950,6769,11176,799,19963
Barbara Olsen,aguilarrichard,4700,0,10038,4329,3395,5183
Barbara Reed,edgarking,0,0,14358,8799,0,17458
Barbara Savage,rhayes,3198,8877,6150,0,11636,0
Barbara Sparks,iedwards,8593,848,6496,8084,10787,7387
Barbara White,uwheeler,300,0,9992,10382,8348,0
Barbara Young,angela02,11395,20241,4195,2898,6134,17456
Barry Bridges,bgibbs,2300,0,13751,6947,3996,3696
Barry Byrd,edwardlewis,8392,1799,5646,6000,11870,4889
Barry Hall,jontorres,0,0,19592,1950,10765,3000
Barry Scott,hessmonica,16666,5496,0,2394,5796,0
Barry Smith,gary17,20191,0,6040,150,18920,3300
Becky Dillon,stephen63,8760,10346,3000,20320,16318,0
Becky Miller,grahamcollin,11095,6698,16892,4598,6899,15259
Becky Ortiz,qwhite,9691,450,2097,4295,9960,19090
Becky West,sean45,0,2388,0,3189,0,8698
Belinda Guzman,vflowers,10394,25105,19166,398,17358,0
Belinda Newman,reynoldsjackie,2290,17943,11671,9100,2048,2490
Belinda Willis,wlambert,199,5799,8596,11367,6779,3699
Benjamin Bennett,crystalcarney,9377,15285,20033,5346,0,0
Benjamin Blevins,asanders,10397,16100,0,3299,15466,0
Benjamin Clark,dchapman,0,14016,11295,5776,19730,14177
Benjamin Clark,kenneth03,650,4828,0,12156,20353,11068
Benjamin Clark,rubiotaylor,1500,11809,16279,0,7216,14568
Benjamin Clark,woodcynthia,11987,6045,3949,0,7960,1598
Benjamin Cross,laurengiles,597,0,5598,11286,9287,9796
Benjamin Dorsey,kevinellison,0,20957,14493,9779,0,3588
Benjamin Evans,markbrown,21183,4280,5995,0,0,12457
Benjamin Fuller,crystal03,12187,0,0,9960,0,6000
Benjamin Gregory,josephrichardson,0,0,1950,2150,12283,0
Benjamin Hall,kimberly83,5889,7000,0,0,0,0
Benjamin James,rileychristine,8149,0,4893,0,9910,0
